,n_features,n_samples,n_subjects,feature_std,A,B,C,overall_prob_outcome,sd_outcome,time_effect,mean,sd,icc,icc_pred,auc_value_base,auc,auc_individual,auc_individual_sd,total_n,auc_c,auc_c_individual,auc_c_individual_sd,sd_intercept,sd_residual
27,10,90,150,0.1,0.05,0.1,0.05,0.9,0.15,FALSE,0.896,0.157347093,0.256965106,0.756565709,0.616689241,0.902997578,0.874139304,0.19234387,78,0.990082724,0.990632625,0.037800037,0.099125787,0.056228202
28,10,90,150,0.1,0.05,0.1,0.05,0.1,0.2,FALSE,0.075259259,0.166774246,0.391828937,0.783814409,0.719361334,0.874742279,0.831342053,0.196829861,49,0.991803279,0.986829318,0.051115188,0.102904492,0.054043204
29,10,90,150,0.1,0.05,0.1,0.05,0.3,0.2,FALSE,0.310740741,0.222629815,0.222415702,0.70950719,0.656544724,0.960395501,0.940635235,0.112742682,139,0.999582986,0.999820144,0.002120472,0.101321573,0.064832269
30,10,90,150,0.1,0.05,0.1,0.05,0.2,0.2,FALSE,0.179777778,0.190324718,0.236771493,0.779905353,0.618232918,0.926422956,0.919544622,0.133932603,114,0.997905028,0.998099415,0.012495579,0.114035156,0.060579063
31,10,90,150,0.1,0.05,0.1,0.05,0.4,0.2,FALSE,0.389185185,0.203388915,0.164531178,0.698200626,0.636880553,0.958170112,0.957366847,0.072440456,146,0.999377722,0.999260585,0.006374812,0.102170514,0.067172982
32,10,90,150,0.1,0.05,0.1,0.05,0.5,0.2,FALSE,0.483407407,0.202072068,0.153933771,0.671476559,0.653159151,0.968395675,0.966336143,0.066261006,150,0.998996285,0.999116228,0.005433643,0.097160341,0.067960534
33,10,90,150,0.1,0.05,0.1,0.05,0.8,0.2,FALSE,0.795111111,0.19689141,0.229018471,0.740940503,0.605230769,0.950182692,0.933619253,0.126878796,119,0.996567308,0.996468587,0.016588608,0.102914038,0.060853101
34,10,90,150,0.1,0.05,0.1,0.05,0.6,0.2,FALSE,0.588962963,0.183932862,0.129952051,0.687337297,0.614921636,0.957553338,0.950436512,0.093994867,149,0.997334635,0.996886109,0.013114119,0.100798885,0.067984329
35,10,90,150,0.1,0.05,0.1,0.05,0.7,0.2,FALSE,0.688074074,0.204235119,0.185038772,0.711665488,0.618396844,0.960268581,0.956079457,0.090940436,142,0.997617156,0.997563587,0.012726141,0.103012655,0.06556936
36,10,90,150,0.1,0.05,0.1,0.05,0.1,0.25,FALSE,0.086222222,0.235732771,0.698661204,0.774991123,0.875318545,0.91527341,0.88015873,0.173534581,27,0.993957704,0.99085097,0.032695672,0.097092194,0.05231615
37,10,90,150,0.1,0.05,0.1,0.05,0.9,0.2,FALSE,0.895259259,0.218337965,0.501126476,0.799463583,0.74266118,0.906995885,0.875433745,0.166062419,50,0.992455418,0.995793739,0.013022477,0.10902643,0.054604581
38,10,90,150,0.1,0.05,0.1,0.05,0.2,0.25,FALSE,0.224074074,0.277801391,0.43629823,0.755535178,0.746979037,0.955283226,0.924878351,0.134211617,90,0.996064277,0.989110306,0.057011636,0.104848642,0.059640826
39,10,90,150,0.1,0.05,0.1,0.05,0.3,0.25,FALSE,0.339259259,0.261330105,0.296223189,0.749901377,0.716822457,0.954343035,0.939393144,0.118680611,137,0.998545558,0.998798662,0.007484847,0.110720611,0.063941386
40,10,90,150,0.1,0.05,0.1,0.05,0.4,0.25,FALSE,0.391777778,0.264189432,0.284384228,0.729309473,0.719701176,0.979002791,0.958182253,0.102612834,147,0.998533184,0.998472525,0.011347567,0.107133826,0.065269039
41,10,90,150,0.1,0.05,0.1,0.05,0.5,0.25,FALSE,0.503481481,0.254123787,0.249545729,0.681960581,0.704615854,0.971189024,0.966389556,0.075496964,144,0.999256098,0.999547736,0.003842264,0.097127122,0.066328681
42,10,90,150,0.1,0.05,0.1,0.05,0.6,0.25,FALSE,0.608148148,0.265741206,0.287840265,0.709295012,0.724649593,0.972968172,0.963120966,0.074449454,140,0.998640914,0.998819243,0.007172771,0.101194305,0.064784164
43,10,90,150,0.1,0.05,0.1,0.05,0.7,0.25,FALSE,0.711037037,0.242455117,0.277534828,0.732342921,0.684304231,0.954028715,0.932115331,0.125205369,138,0.997285503,0.997776005,0.010620178,0.103236079,0.062411357
44,10,90,150,0.1,0.05,0.15,0.05,0.4,0.05,FALSE,0.411185185,0.070148885,0.009314404,0.805761429,0.501784763,0.965016393,0.963950857,0.067245384,150,0.998473434,0.998436915,0.008274588,0.143143159,0.070280541
45,10,90,150,0.1,0.05,0.15,0.05,0.1,0.05,FALSE,0.098,0.0628153,0.033889494,0.85937461,0.5,0.817880595,0.791169343,0.201563922,130,0.992682927,0.994807692,0.027399204,0.144334819,0.058386403
46,10,90,150,0.1,0.05,0.1,0.05,0.8,0.25,FALSE,0.793851852,0.247528296,0.366423782,0.714257562,0.71673696,0.924630685,0.916189718,0.131228493,99,0.996462264,0.997645359,0.011671979,0.093729573,0.059283876
47,10,90,150,0.1,0.05,0.15,0.05,0.2,0.05,FALSE,0.187407407,0.063060123,0.015165441,0.857282016,0.5,0.900598491,0.893904922,0.148541141,148,0.99410183,0.99074232,0.048893088,0.154899969,0.06320171
48,10,90,150,0.1,0.05,0.15,0.05,0.3,0.05,FALSE,0.30837037,0.072088003,0.013399614,0.805406222,0.5,0.950498326,0.950322055,0.092844104,150,0.99825494,0.998625204,0.007096488,0.137701687,0.067685594
49,10,90,150,0.1,0.05,0.1,0.05,0.9,0.25,FALSE,0.885407407,0.264022237,0.680355032,0.770071228,0.862458522,0.952442756,0.898675903,0.155743613,35,0.996495327,0.997674621,0.00783462,0.097934521,0.053513951
50,10,90,150,0.1,0.05,0.15,0.05,0.6,0.05,FALSE,0.593259259,0.077856535,0.014162524,0.820575357,0.50595002,0.965713911,0.965861012,0.057688223,150,0.999280211,0.999283272,0.005042675,0.149315092,0.069820912
51,10,90,150,0.1,0.05,0.15,0.05,0.5,0.05,FALSE,0.510814815,0.070283998,0.00875214,0.827274616,0.529046492,0.974213634,0.97567634,0.051901752,150,0.999506078,0.999553571,0.003861858,0.153300082,0.070047981
52,10,90,150,0.1,0.05,0.15,0.05,0.7,0.05,FALSE,0.708962963,0.065585272,0.009842219,0.840676396,0.5,0.956624258,0.954429147,0.084307338,150,0.997724334,0.998199785,0.009418017,0.154787777,0.067384855
53,10,90,150,0.1,0.05,0.15,0.05,0.8,0.05,FALSE,0.79962963,0.069471409,0.019218801,0.844322182,0.5,0.938512703,0.930596486,0.121407182,147,0.997157016,0.996629234,0.023314581,0.14992639,0.064377981
54,10,90,150,0.1,0.05,0.15,0.05,0.9,0.05,FALSE,0.903111111,0.053776434,0.022177856,0.872819359,0.5,0.801827622,0.808785782,0.211126416,135,0.991293532,0.992078189,0.047918867,0.152735221,0.058302546
55,10,90,150,0.1,0.05,0.15,0.05,0.3,0.1,FALSE,0.297259259,0.118038605,0.05618223,0.838770292,0.530120779,0.955659503,0.947904048,0.095314393,150,0.998593813,0.998524952,0.010133988,0.152590592,0.066900409
56,10,90,150,0.1,0.05,0.15,0.05,0.1,0.1,FALSE,0.084666667,0.087267749,0.088071966,0.883080949,0.5,0.830349159,0.839584181,0.20547265,99,0.99002849,0.989209864,0.056099684,0.155310236,0.056512232
57,10,90,150,0.1,0.05,0.15,0.05,0.2,0.1,FALSE,0.213777778,0.111443797,0.063450623,0.847851387,0.505862562,0.91862073,0.916711468,0.135271899,144,0.999247675,0.999003344,0.010519677,0.150042854,0.063560814
58,10,90,150,0.1,0.05,0.15,0.05,0.4,0.1,FALSE,0.391481481,0.114261212,0.044163643,0.857432231,0.537255956,0.975672207,0.97229974,0.054867124,150,0.999075575,0.999051671,0.005877164,0.168014173,0.06851043
59,10,90,150,0.1,0.05,0.15,0.05,0.5,0.1,FALSE,0.509481481,0.113394777,0.040776321,0.845021618,0.558955124,0.96480566,0.963043758,0.071397895,150,0.9989995,0.999098662,0.005602756,0.164007304,0.07023682
60,10,90,150,0.1,0.05,0.15,0.05,0.9,0.1,FALSE,0.889259259,0.103404766,0.098483548,0.858232355,0.5,0.860085444,0.817792134,0.202286283,123,0.990406319,0.983951155,0.078619777,0.143975449,0.058515991
61,10,90,150,0.1,0.05,0.15,0.05,0.7,0.1,FALSE,0.698074074,0.114661738,0.051817238,0.822841846,0.503891449,0.955120328,0.949766349,0.086330508,147,0.998809524,0.999228153,0.005388304,0.142997038,0.066351299
62,10,90,150,0.1,0.05,0.15,0.05,0.8,0.1,FALSE,0.808888889,0.101500875,0.056127501,0.87671616,0.5,0.901017318,0.894575598,0.154306868,146,0.998580803,0.998885308,0.008357563,0.169571843,0.063588314
63,10,90,150,0.1,0.05,0.15,0.05,0.6,0.1,FALSE,0.575037037,0.122394541,0.050729872,0.832760806,0.564311362,0.964321043,0.961135208,0.069094475,150,1,1,0,0.155226529,0.069562445
64,10,90,150,0.1,0.05,0.15,0.05,0.1,0.15,FALSE,0.104296296,0.150238227,0.232703008,0.888848624,0.567318201,0.893778899,0.830158078,0.203841606,91,0.996153846,0.991575092,0.055908525,0.161095133,0.05696734
65,10,90,150,0.1,0.05,0.15,0.05,0.2,0.15,FALSE,0.209111111,0.151977982,0.129860829,0.858515258,0.549855869,0.942203473,0.928594253,0.138341747,140,0.998085104,0.998468615,0.011434619,0.155863005,0.063273789
66,10,90,150,0.1,0.05,0.15,0.05,0.3,0.15,FALSE,0.289555556,0.161755788,0.117275572,0.798389752,0.568034364,0.949091258,0.941956654,0.101767793,146,0.998293515,0.998873273,0.006761197,0.131332699,0.06599662
67,10,90,150,0.1,0.05,0.15,0.05,0.5,0.15,FALSE,0.503481481,0.144436624,0.073106583,0.836651129,0.585846942,0.970725612,0.968496725,0.057232261,150,0.998999811,0.999292593,0.004360171,0.155131834,0.068546739
68,10,90,150,0.1,0.05,0.15,0.05,0.4,0.15,FALSE,0.399703704,0.15491477,0.0898393,0.797692954,0.597844761,0.962532597,0.957049588,0.079707671,150,0.998761313,0.998720238,0.007642531,0.136218789,0.068600083
69,10,90,150,0.1,0.05,0.15,0.05,0.8,0.15,FALSE,0.807555556,0.145881795,0.12711451,0.872543563,0.544626594,0.937635528,0.910554214,0.152677571,140,0.996541331,0.996739229,0.019121262,0.164761596,0.062971395
